GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Vertx Management Endpoints,uk.co.spudsoft.mgmt,InFlightRoute,6,204,1,3,2,48,1,8,0,7
Vertx Management Endpoints,uk.co.spudsoft.mgmt,HeapDumpRoute,21,248,2,18,8,71,3,17,1,9
Vertx Management Endpoints,uk.co.spudsoft.mgmt,DumpParametersRoute,2,149,1,5,1,44,1,6,0,4
Vertx Management Endpoints,uk.co.spudsoft.mgmt,DumpEnvRoute,2,261,1,9,1,70,1,11,0,7
Vertx Management Endpoints,uk.co.spudsoft.mgmt,DumpSysPropsRoute.Property,0,15,0,0,0,6,0,3,0,3
Vertx Management Endpoints,uk.co.spudsoft.mgmt,AccessLogOutputRoute,27,721,11,35,9,159,11,22,0,9
Vertx Management Endpoints,uk.co.spudsoft.mgmt,RingBuffer,0,122,0,10,0,27,0,9,0,4
Vertx Management Endpoints,uk.co.spudsoft.mgmt,AccessLogCaptureRoute.AccessLogData,0,29,0,0,0,12,0,7,0,7
Vertx Management Endpoints,uk.co.spudsoft.mgmt,LogbackMgmtRoute,63,377,4,20,21,100,5,22,1,14
Vertx Management Endpoints,uk.co.spudsoft.mgmt,ContentTypes,0,59,1,5,0,16,1,5,0,3
Vertx Management Endpoints,uk.co.spudsoft.mgmt,ThreadDumpRoute,42,582,7,31,15,127,7,20,0,8
Vertx Management Endpoints,uk.co.spudsoft.mgmt,DumpSysPropsRoute,5,268,3,11,2,72,3,12,0,8
Vertx Management Endpoints,uk.co.spudsoft.mgmt,DumpEnvRoute.Variable,0,15,0,0,0,6,0,3,0,3
Vertx Management Endpoints,uk.co.spudsoft.mgmt,ManagementRoute,0,258,4,26,0,55,4,19,0,8
Vertx Management Endpoints,uk.co.spudsoft.mgmt,AccessLogCaptureRoute,0,44,0,0,0,13,0,5,0,5
